,f_rim,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,sim_time,sim_u2,spk_T,spk_Tn,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle
fr0.4_Tn0.60,0.4,0.05,0.05,0.025,0.025,fr0.4_Tn0.60,5.658400372194748e-09,2.829200186097374e-09,2.829200186097374e-09,0.0,6.287602690050189e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2408.831418744429,0.6,0.002772167528288224,beam,36.0,0.0,200000000000.0,fr0.4_Tn0.60.pkl
fr0.4_Tn0.70,0.4,0.05,0.05,0.025,0.025,fr0.4_Tn0.70,5.658400372194748e-09,2.829200186097374e-09,2.829200186097374e-09,0.0,6.287602690050189e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2810.3033218685005,0.7,0.002772167528288224,beam,36.0,0.0,200000000000.0,fr0.4_Tn0.70.pkl
fr0.4_Tn0.80,0.4,0.05,0.05,0.025,0.025,fr0.4_Tn0.80,5.658400372194748e-09,2.829200186097374e-09,2.829200186097374e-09,0.0,6.287602690050189e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,3211.7752249925725,0.8,0.002772167528288224,beam,36.0,0.0,200000000000.0,fr0.4_Tn0.80.pkl
fr0.4_Tn0.90,0.4,0.05,0.05,0.025,0.025,fr0.4_Tn0.90,5.658400372194748e-09,2.829200186097374e-09,2.829200186097374e-09,0.0,6.287602690050189e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,3613.2471281166436,0.9,0.002772167528288224,beam,36.0,0.0,200000000000.0,fr0.4_Tn0.90.pkl
fr0.5_Tn0.00,0.5,0.05,0.05,0.025,0.025,fr0.5_Tn0.00,6.876374740913608e-09,3.438187370456804e-09,3.438187370456804e-09,0.0,7.85950336256273e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,0.0,0.0,0.0025306311473780015,beam,36.0,0.0,200000000000.0,fr0.5_Tn0.00.pkl
fr0.5_Tn0.10,0.5,0.05,0.05,0.025,0.025,fr0.5_Tn0.10,6.876374740913608e-09,3.438187370456804e-09,3.438187370456804e-09,0.0,7.85950336256273e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,413.172336465752,0.1,0.0025306311473780015,beam,36.0,0.0,200000000000.0,fr0.5_Tn0.10.pkl
fr0.5_Tn0.20,0.5,0.05,0.05,0.025,0.025,fr0.5_Tn0.20,6.876374740913608e-09,3.438187370456804e-09,3.438187370456804e-09,0.0,7.85950336256273e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,826.344672931504,0.2,0.0025306311473780015,beam,36.0,0.0,200000000000.0,fr0.5_Tn0.20.pkl
fr0.5_Tn0.30,0.5,0.05,0.05,0.025,0.025,fr0.5_Tn0.30,6.876374740913608e-09,3.438187370456804e-09,3.438187370456804e-09,0.0,7.85950336256273e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1239.5170093972558,0.3,0.0025306311473780015,beam,36.0,0.0,200000000000.0,fr0.5_Tn0.30.pkl
fr0.5_Tn0.40,0.5,0.05,0.05,0.025,0.025,fr0.5_Tn0.40,6.876374740913608e-09,3.438187370456804e-09,3.438187370456804e-09,0.0,7.85950336256273e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1652.689345863008,0.4,0.0025306311473780015,beam,36.0,0.0,200000000000.0,fr0.5_Tn0.40.pkl
fr0.5_Tn0.50,0.5,0.05,0.05,0.025,0.025,fr0.5_Tn0.50,6.876374740913608e-09,3.438187370456804e-09,3.438187370456804e-09,0.0,7.85950336256273e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2065.86168232876,0.5,0.0025306311473780015,beam,36.0,0.0,200000000000.0,fr0.5_Tn0.50.pkl
fr0.5_Tn0.60,0.5,0.05,0.05,0.025,0.025,fr0.5_Tn0.60,6.876374740913608e-09,3.438187370456804e-09,3.438187370456804e-09,0.0,7.85950336256273e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2479.0340187945117,0.6,0.0025306311473780015,beam,36.0,0.0,200000000000.0,fr0.5_Tn0.60.pkl
fr0.5_Tn0.70,0.5,0.05,0.05,0.025,0.025,fr0.5_Tn0.70,6.876374740913608e-09,3.438187370456804e-09,3.438187370456804e-09,0.0,7.85950336256273e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2892.2063552602635,0.7,0.0025306311473780015,beam,36.0,0.0,200000000000.0,fr0.5_Tn0.70.pkl
fr0.5_Tn0.80,0.5,0.05,0.05,0.025,0.025,fr0.5_Tn0.80,6.876374740913608e-09,3.438187370456804e-09,3.438187370456804e-09,0.0,7.85950336256273e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,3305.378691726016,0.8,0.0025306311473780015,beam,36.0,0.0,200000000000.0,fr0.5_Tn0.80.pkl
fr0.5_Tn0.90,0.5,0.05,0.05,0.025,0.025,fr0.5_Tn0.90,6.876374740913608e-09,3.438187370456804e-09,3.438187370456804e-09,0.0,7.85950336256273e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,3718.5510281917677,0.9,0.0025306311473780015,beam,36.0,0.0,200000000000.0,fr0.5_Tn0.90.pkl
fr0.6_Tn0.00,0.6,0.05,0.05,0.025,0.025,fr0.6_Tn0.00,8.01569881990054e-09,4.00784940995027e-09,4.00784940995027e-09,0.0,9.43140403507528e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,0.0,0.0,0.0022634653086062,beam,36.0,0.0,200000000000.0,fr0.6_Tn0.00.pkl
fr0.6_Tn0.10,0.6,0.05,0.05,0.025,0.025,fr0.6_Tn0.10,8.01569881990054e-09,4.00784940995027e-09,4.00784940995027e-09,0.0,9.43140403507528e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,369.49383372999966,0.1,0.0022634653086062,beam,36.0,0.0,200000000000.0,fr0.6_Tn0.10.pkl
fr0.6_Tn0.20,0.6,0.05,0.05,0.025,0.025,fr0.6_Tn0.20,8.01569881990054e-09,4.00784940995027e-09,4.00784940995027e-09,0.0,9.43140403507528e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,738.9876674599993,0.2,0.0022634653086062,beam,36.0,0.0,200000000000.0,fr0.6_Tn0.20.pkl
fr0.6_Tn0.30,0.6,0.05,0.05,0.025,0.025,fr0.6_Tn0.30,8.01569881990054e-09,4.00784940995027e-09,4.00784940995027e-09,0.0,9.43140403507528e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1108.4815011899989,0.3,0.0022634653086062,beam,36.0,0.0,200000000000.0,fr0.6_Tn0.30.pkl
fr0.6_Tn0.40,0.6,0.05,0.05,0.025,0.025,fr0.6_Tn0.40,8.01569881990054e-09,4.00784940995027e-09,4.00784940995027e-09,0.0,9.43140403507528e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1477.9753349199987,0.4,0.0022634653086062,beam,36.0,0.0,200000000000.0,fr0.6_Tn0.40.pkl
fr0.6_Tn0.50,0.6,0.05,0.05,0.025,0.025,fr0.6_Tn0.50,8.01569881990054e-09,4.00784940995027e-09,4.00784940995027e-09,0.0,9.43140403507528e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1847.4691686499982,0.5,0.0022634653086062,beam,36.0,0.0,200000000000.0,fr0.6_Tn0.50.pkl
fr0.6_Tn0.60,0.6,0.05,0.05,0.025,0.025,fr0.6_Tn0.60,8.01569881990054e-09,4.00784940995027e-09,4.00784940995027e-09,0.0,9.43140403507528e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2216.9630023799978,0.6,0.0022634653086062,beam,36.0,0.0,200000000000.0,fr0.6_Tn0.60.pkl
fr0.6_Tn0.70,0.6,0.05,0.05,0.025,0.025,fr0.6_Tn0.70,8.01569881990054e-09,4.00784940995027e-09,4.00784940995027e-09,0.0,9.43140403507528e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2586.4568361099973,0.7,0.0022634653086062,beam,36.0,0.0,200000000000.0,fr0.6_Tn0.70.pkl
fr0.6_Tn0.80,0.6,0.05,0.05,0.025,0.025,fr0.6_Tn0.80,8.01569881990054e-09,4.00784940995027e-09,4.00784940995027e-09,0.0,9.43140403507528e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2955.9506698399973,0.8,0.0022634653086062,beam,36.0,0.0,200000000000.0,fr0.6_Tn0.80.pkl
fr0.6_Tn0.90,0.6,0.05,0.05,0.025,0.025,fr0.6_Tn0.90,8.01569881990054e-09,4.00784940995027e-09,4.00784940995027e-09,0.0,9.43140403507528e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,3325.444503569997,0.9,0.0022634653086062,beam,36.0,0.0,200000000000.0,fr0.6_Tn0.90.pkl
fr0.7_Tn0.00,0.7,0.05,0.05,0.025,0.025,fr0.7_Tn0.00,9.07637260915554e-09,4.53818630457777e-09,4.53818630457777e-09,0.0,0.00011003304707587822,,0.3,26000000000.0,69000000000.0,1.0,0.01,0.0,0.0,0.0019602184578377535,beam,36.0,0.0,200000000000.0,fr0.7_Tn0.00.pkl
fr0.7_Tn0.10,0.7,0.05,0.05,0.025,0.025,fr0.7_Tn0.10,9.07637260915554e-09,4.53818630457777e-09,4.53818630457777e-09,0.0,0.00011003304707587822,,0.3,26000000000.0,69000000000.0,1.0,0.01,324.59062674210077,0.1,0.0019602184578377535,beam,36.0,0.0,200000000000.0,fr0.7_Tn0.10.pkl
fr0.7_Tn0.20,0.7,0.05,0.05,0.025,0.025,fr0.7_Tn0.20,9.07637260915554e-09,4.53818630457777e-09,4.53818630457777e-09,0.0,0.00011003304707587822,,0.3,26000000000.0,69000000000.0,1.0,0.01,649.1812534842015,0.2,0.0019602184578377535,beam,36.0,0.0,200000000000.0,fr0.7_Tn0.20.pkl
fr0.7_Tn0.30,0.7,0.05,0.05,0.025,0.025,fr0.7_Tn0.30,9.07637260915554e-09,4.53818630457777e-09,4.53818630457777e-09,0.0,0.00011003304707587822,,0.3,26000000000.0,69000000000.0,1.0,0.01,973.7718802263021,0.3,0.0019602184578377535,beam,36.0,0.0,200000000000.0,fr0.7_Tn0.30.pkl
fr0.7_Tn0.40,0.7,0.05,0.05,0.025,0.025,fr0.7_Tn0.40,9.07637260915554e-09,4.53818630457777e-09,4.53818630457777e-09,0.0,0.00011003304707587822,,0.3,26000000000.0,69000000000.0,1.0,0.01,1298.362506968403,0.4,0.0019602184578377535,beam,36.0,0.0,200000000000.0,fr0.7_Tn0.40.pkl
fr0.7_Tn0.50,0.7,0.05,0.05,0.025,0.025,fr0.7_Tn0.50,9.07637260915554e-09,4.53818630457777e-09,4.53818630457777e-09,0.0,0.00011003304707587822,,0.3,26000000000.0,69000000000.0,1.0,0.01,1622.9531337105036,0.5,0.0019602184578377535,beam,36.0,0.0,200000000000.0,fr0.7_Tn0.50.pkl
fr0.7_Tn0.60,0.7,0.05,0.05,0.025,0.025,fr0.7_Tn0.60,9.07637260915554e-09,4.53818630457777e-09,4.53818630457777e-09,0.0,0.00011003304707587822,,0.3,26000000000.0,69000000000.0,1.0,0.01,1947.5437604526041,0.6,0.0019602184578377535,beam,36.0,0.0,200000000000.0,fr0.7_Tn0.60.pkl
fr0.7_Tn0.70,0.7,0.05,0.05,0.025,0.025,fr0.7_Tn0.70,9.07637260915554e-09,4.53818630457777e-09,4.53818630457777e-09,0.0,0.00011003304707587822,,0.3,26000000000.0,69000000000.0,1.0,0.01,2272.1343871947047,0.7,0.0019602184578377535,beam,36.0,0.0,200000000000.0,fr0.7_Tn0.70.pkl
fr0.7_Tn0.80,0.7,0.05,0.05,0.025,0.025,fr0.7_Tn0.80,9.07637260915554e-09,4.53818630457777e-09,4.53818630457777e-09,0.0,0.00011003304707587822,,0.3,26000000000.0,69000000000.0,1.0,0.01,2596.725013936806,0.8,0.0019602184578377535,beam,36.0,0.0,200000000000.0,fr0.7_Tn0.80.pkl
fr0.7_Tn0.90,0.7,0.05,0.05,0.025,0.025,fr0.7_Tn0.90,9.07637260915554e-09,4.53818630457777e-09,4.53818630457777e-09,0.0,0.00011003304707587822,,0.3,26000000000.0,69000000000.0,1.0,0.01,2921.3156406789067,0.9,0.0019602184578377535,beam,36.0,0.0,200000000000.0,fr0.7_Tn0.90.pkl
fr0.8_Tn0.00,0.8,0.05,0.05,0.025,0.025,fr0.8_Tn0.00,1.0058396108678616e-08,5.029198054339308e-09,5.029198054339308e-09,0.0,0.00012575205380100372,,0.3,26000000000.0,69000000000.0,1.0,0.01,0.0,0.0,0.0016005116686959454,beam,36.0,0.0,200000000000.0,fr0.8_Tn0.00.pkl
fr0.8_Tn0.10,0.8,0.05,0.05,0.025,0.025,fr0.8_Tn0.10,1.0058396108678616e-08,5.029198054339308e-09,5.029198054339308e-09,0.0,0.00012575205380100372,,0.3,26000000000.0,69000000000.0,1.0,0.01,278.4628085275779,0.1,0.0016005116686959454,beam,36.0,0.0,200000000000.0,fr0.8_Tn0.10.pkl
