(lb)	(in)
-1.945958609	0.0007
-1.965921528	0.0008
-1.93680879	0.0005
-1.949285881	0.0008
-1.950949161	0.0017
-1.940136062	0.0008
-1.965921528	-0.0002
-1.948453885	0.0003
-1.944294618	0.0003
-1.942631338	0.0003
-1.973408066	0.0003
-1.959267695	0.0008
-1.959267695	0.0008
-1.945126614	0.0009
-1.952613152	0.001
-1.9476226	0.0014
-1.9476226	-0.0002
-1.952613152	0.0003
-1.962594256	0.0008
-1.941799342	0.0005
-1.957603704	0.0003
-1.952613152	0.0009
-1.939304066	0.0003
-1.939304066	-0.0004
-1.930154247	0.0003
-1.955939713	0.0004
-1.951781157	0.0007
-1.952613152	0.0005
-1.9476226	0.0003
-1.980894605	-0.0004
-1.970080795	0.0008
-1.966753523	0.0007
-1.953445148	0.0003
-1.945958609	0.0003
-1.940136062	0.0007
-1.954276433	0.0009
-1.965921528	0.0013
-1.945958609	0.0003
-1.950117876	0.0003
-1.959267695	0.0003
-1.948453885	-0.0002
-1.945958609	-1E-04
-1.940968057	0.0011
-1.945958609	0
-1.939304066	0.0009
-1.944294618	0.0005
-1.957603704	0.0007
-1.950117876	0.0003
-1.957603704	-0.0007
-1.9476226	-0.0002
-1.938472781	0.0007
-1.93680879	-0.0002
-1.946790605	0.0013
-1.948453885	-0.0002
-1.937640786	-0.0002
-1.949285881	0.0008
-1.939304066	0.0003
-1.976735338	0.0003
-1.929322252	0.0003
-1.93680879	0.0009
-1.951781157	0.0008
-1.952613152	0.0003
-1.941799342	0.0013
-1.940968057	0.0003
-1.942631338	0.0004
-1.938472781	0.0003
-1.96009898	0.0004
-1.959267695	0.0003
-1.954276433	0.0008
-1.956771709	0.0003
-1.935976795	0.0003
-1.93514551	0.0012
-1.954276433	0
-1.943463333	0.0003
-1.941799342	0.0005
-1.948453885	-0.0002
-1.950949161	0.0007
-1.9584357	0.0011
-1.946790605	0.0003
-1.942631338	0.0004
-1.931818238	1E-04
-1.953445148	0.0003
-1.951781157	-1E-04
-1.961762971	0.0005
-1.946790605	0.0003
-1.942631338	-1E-04
-1.945126614	-0.0005
-1.954276433	0.0012
-1.951781157	0.0009
-1.943463333	0
-1.960930976	0.0009
-1.955939713	0.0006
-1.93514551	-0.0002
-1.952613152	0.0003
-1.950117876	0.0007
-1.962594256	0.0004
-1.940136062	0.0008
-1.9476226	0.0003
-1.955939713	0.0006
-1.932650234	0.0009
-1.938472781	0.0009
-1.953445148	0.0011
-1.957603704	-0.0002
-1.939304066	0.0005
-1.956771709	0.0003
-1.952613152	0.0002
-1.944294618	0.0011
-1.953445148	0.0003
-1.93680879	0.0003
-1.959267695	-1E-04
-1.939304066	0.0009
-1.93680879	0.0009
-1.943463333	0.0011
-1.952613152	0.0003
-1.939304066	0.0008
-1.956771709	0.0008
-1.956771709	0.0011
-1.946790605	0.0006
-1.93680879	0.0009
-1.939304066	0.0006
-1.972576071	0.0004
-1.953445148	0.0008
-1.943463333	0.0006
-1.945958609	0.0003
-1.934313514	0.0003
-1.940968057	0.0003
-1.952613152	0.0007
-1.944294618	0.0008
-1.955939713	0.0007
-1.962594256	0.0003
-1.9584357	0.0008
-1.957603704	0.0003
-1.955108428	0.0009
-1.956771709	0.0015
-1.950117876	0.0011
-1.954276433	0.0003
