Load	Displacement
(lb)	(in)
-37.94966083	-0.1996
-37.90973357	-0.1994
-37.94633427	-0.1996
-37.95964193	-0.1998
-37.90973357	-0.1994
-37.92637206	-0.1996
-37.95964193	-0.1996
-37.92969933	-0.1996
-37.92637206	-0.1995
-37.89975246	-0.1996
-37.95964193	-0.1993
-37.92969933	-0.1992
-37.94966083	-0.1994
-37.95964193	-0.1993
-37.93302589	-0.1997
-37.93302589	-0.1998
-37.90307974	-0.1997
-37.93967972	-0.1998
-37.92304479	-0.1996
-37.92304479	-0.1994
-37.94633427	-0.1998
-37.92304479	-0.1995
-37.88311753	-0.1995
-37.92304479	-0.1998
-37.92969933	-0.1995
-37.94633427	-0.1998
-37.95964193	-0.1995
-37.92304479	-0.1996
-37.94633427	-0.1995
-37.92969933	-0.1996
-37.93302589	-0.1993
-37.92304479	-0.199
-37.8864448	-0.1993
-37.91306084	-0.1995
-37.97295031	-0.2
-37.92637206	-0.1995
-37.84319027	-0.1991
-37.74670366	-0.1983
-37.59697857	-0.1973
-37.54041567	-0.1966
-37.39734797	-0.1965
-37.3008578	-0.1959
-37.20769847	-0.195
-37.05464611	-0.194
-36.92821334	-0.1939
-36.81841552	-0.1924
-36.68200165	-0.192
-36.61213108	-0.1916
-36.34595362	-0.1904
-36.21286702	-0.1897
-36.11970342	-0.1887
-36.01989025	-0.1883
-35.89678405	-0.1879
-35.72044292	-0.187
-35.6405884	-0.1861
-35.5540829	-0.1855
-35.45759273	-0.185
-35.3278327	-0.1843
-35.13485663	-0.1838
-35.08494827	-0.1828
-34.93189876	-0.1821
-34.8154471	-0.1814
-34.69566816	-0.1814
-34.59252417	-0.1802
-34.45943757	-0.1795
-34.34963974	-0.1786
-34.22320627	-0.1781
-34.12338955	-0.1776
-33.97033719	-0.1768
-33.84390442	-0.1765
-33.70083601	-0.1753
-33.64760109	-0.1753
-33.56774941	-0.174
-33.40471595	-0.1742
-33.27495592	-0.1732
-33.1851203	-0.1726
-33.00212463	-0.1718
-32.95554354	-0.1711
-32.82911077	-0.1702
-32.67938853	-0.1698
-32.59620674	-0.1694
-32.4464845	-0.1685
-32.39657614	-0.1677
-32.23686995	-0.1667
-32.09380224	-0.1666
-31.97069604	-0.1655
-31.86422477	-0.1648
-31.74111928	-0.1638
-31.64463267	-0.1636
-31.57143199	-0.1633
-31.36847411	-0.1623
-31.26200355	-0.1615
-31.12226241	-0.1609
-31.04906528	-0.1608
-30.91930169	-0.1595
-30.86606606	-0.1592
-30.73297946	-0.1588
-30.58658449	-0.1578
-30.46015173	-0.1567
-30.36033429	-0.1561
-30.21061276	-0.1558
-30.11412259	-0.155
-30.01430587	-0.1542
-29.90118077	-0.1536
-29.76143963	-0.1534
-29.62835303	-0.1521
-29.54849781	-0.1513
-29.35884902	-0.1509
-29.28232461	-0.1502
-29.18583445	-0.1501
-29.05274714	-0.1492
-28.94295145	-0.1481
-28.77991799	-0.1478
-28.69673762	-0.1471
-28.59026848	-0.1469
-28.45717975	-0.1453
-28.33074699	-0.1453
-28.23758552	-0.1441
-28.08120802	-0.1431
-28.00800876	-0.1434
-27.89821235	-0.1421
-27.7917418	-0.142
-27.65865449	-0.1412
-27.50893153	-0.1402
-27.36918826	-0.1392
-27.295989	-0.1387
-27.16622967	-0.1382
-27.04645074	-0.1374
-26.90338091	-0.1365
-26.80689288	-0.1364
-26.69044051	-0.136
-26.56400774	-0.1348
-26.47417354	-0.1345
-26.32777715	-0.1335
-26.20799822	-0.133
-26.10152695	-0.1322
-25.98174802	-0.1318
-25.86196909	-0.1308
-25.74219016	-0.1308
-25.63572102	-0.1296
-25.50263229	-0.1288
-25.38285336	-0.1284
-25.2131682	-0.1278
-25.14995146	-0.1264
-25.03682636	-0.1262
-24.84384817	-0.1252
-24.68747067	-0.1245
-24.55105538	-0.1237
-24.39467717	-0.1229
-24.32148004	-0.1224
-24.21500948	-0.1216
-24.04199634	-0.1207
-23.96214324	-0.1205
-23.83903704	-0.1197
-23.72258538	-0.1192
-23.59947918	-0.1185
-23.50631842	-0.1178
-23.36324858	-0.1169
-23.24014309	-0.1159
-23.12036416	-0.1151
-23.02720127	-0.1148
-22.87415033	-0.1143
-22.80095249	-0.1141
-22.64457499	-0.1128
-22.50150516	-0.1122
-22.4316353	-0.1118
-22.33181787	-0.1113
-22.16878654	-0.1098
-22.02904397	-0.1095
-21.94919088	-0.1086
-21.81610357	-0.1083
-21.69965191	-0.1078
-21.5665646	-0.1069
-21.49669261	-0.1062
-21.35029622	-0.106
-21.21720891	-0.1048
-21.12072088	-0.1045
-20.97765105	-0.1036
-20.84123576	-0.1032
-20.75140156	-0.1024
-20.59502406	-0.1015
-20.56840589	-0.1007
-20.40204729	-0.1003
-20.29557673	-0.1002
-20.1757978	-0.0991
-20.00943707	-0.0982
-19.93291266	-0.0977
-19.80085629	-0.0966
-19.70935881	-0.0964
-19.55963515	-0.0954
-19.43153839	-0.0948
-19.32506713	-0.0948
-19.20362491	-0.0939
-19.08550997	-0.093
-18.95242266	-0.0922
-18.84927867	-0.0916
-18.73282701	-0.0911
-18.64465609	-0.0902
-18.51656004	-0.0895
-18.36018184	-0.0888
-18.25371128	-0.0883
-18.14391487	-0.0874
-18.01914397	-0.087
-17.91932867	-0.0865
-17.78790535	-0.0852
-17.67478025	-0.0851
-17.59326387	-0.0845
-17.43854966	-0.0837
-17.32708784	-0.0826
-17.21895542	-0.0823
-17.07754887	-0.0814
-16.92283536	-0.0809
-16.85462665	-0.0804
-16.71654879	-0.0795
-16.63336843	-0.0786
-16.49861642	-0.0779
-16.36053927	-0.078
-16.24408761	-0.0768
-16.14926286	-0.0764
-16.01284686	-0.0754
-15.89473121	-0.0749
-15.77827955	-0.0743
-15.63354643	-0.0734
-15.53040457	-0.0725
-15.40397109	-0.0723
-15.31081033	-0.0717
-15.16940378	-0.0709
-15.08456013	-0.0702
-14.9414903	-0.0698
-14.84500227	-0.0687
-14.69860588	-0.0684
-14.56718256	-0.0678
-14.46237599	-0.0673
-14.30932435	-0.0658
-14.20784505	-0.0654
-14.08806612	-0.0652
-14.00821374	-0.0641
-13.83686316	-0.0635
-13.74702896	-0.0632
-13.63390457	-0.0625
-13.52078019	-0.0619
-13.34776562	-0.0608
-13.27456778	-0.0599
-13.16477066	-0.0597
-13.05164556	-0.0594
-12.91024043	-0.0586
-12.80543387	-0.0576
-12.67068257	-0.0571
-12.57086655	-0.0563
-12.43777854	-0.0555
-12.36957054	-0.055
-12.1849123	-0.0546
-12.10173193	-0.054
-11.96698063	-0.053
-11.83222933	-0.0528
-11.70579657	-0.0518
-11.60930712	-0.0505
-11.49285617	-0.0507
-11.34645977	-0.0498
-11.24830704	-0.0491
-11.1401732	-0.0481
-11.00708589	-0.0476
-10.90727059	-0.0468
-10.75255566	-0.0461
-10.62612219	-0.0455
-10.57288727	-0.0454
-10.41983633	-0.0443
-10.29506685	-0.044
-10.1985781	-0.0437
-10.01558243	-0.0429
-9.945361587	-0.041
-9.82475066	-0.0409
-9.702477162	-0.0397
-9.598501882	-0.0395
-9.488704764	-0.039
-9.338149814	-0.0384
-9.230846552	-0.0373
-9.129367968	-0.0373
-9.021233421	-0.0364
-8.878165009	-0.0354
-8.768367181	-0.0352
-8.628625331	-0.0345
-8.488051485	-0.034
-8.427330734	-0.0327
-8.272615806	-0.0321
-8.148677607	-0.0319
-8.026403399	-0.0307
-7.91327901	-0.0307
-7.797659345	-0.0295
-7.692020074	-0.0289
-7.565587309	-0.0281
-7.441649821	-0.0277
-7.300243269	-0.027
-7.08314431	-0.0255
-6.960870102	-0.0248
-6.870203907	-0.0243
-6.727966781	-0.0234
-6.619832944	-0.0227
-6.508371835	-0.0219
-6.366965994	-0.0212
-6.278795075	-0.021
-6.159016143	-0.0203
-6.013451745	-0.0195
-5.901990637	-0.0192
-5.793025515	-0.0183
-5.653283664	-0.0173
-5.535168013	-0.017
-5.419547637	-0.0165
-5.297273429	-0.016
-5.185812321	-0.0147
-5.087660298	-0.014
-4.983685728	-0.0135
-4.87222462	-0.0127
-4.699210765	-0.0121
-4.616031109	-0.0113
-4.489597634	-0.011
-4.381463797	-0.0105
-4.25003977	-0.0095
-4.140242652	-0.0089
-4.015472458	-0.0083
-3.870740055	-0.0075
-3.747633141	-0.007
-3.639500015	-0.0058
-3.527206911	-0.0052
-3.411587246	-0.0045
-3.308443961	-0.0045
-3.190328309	-0.0033
-3.087185735	-0.0032
-2.954929712	-0.0027
-2.837646056	-0.0014
-2.751139129	-0.0008
-2.598088192	0
-2.471655428	0.0009
-2.394297609	0.0005
-2.395129604	0.0007
-2.401784147	0.0007
-2.395129604	0.0003
-2.406774699	0.0003
-2.422579061	0.0004
-2.421747066	0.0004
-2.423411057	0.0007
-2.421747066	0.0007
-2.425074337	0.0005
-2.406774699	1E-04
-2.410101971	0.0002
-2.418419794	0.0005
-2.422579061	0.0005
-2.411765962	0.0006
-2.425074337	0.0008
-2.425074337	0.0006
-2.402615432	0.0008
