Load	Displacement
(lb)	(in)
-0.747337294	-0.0016
-0.78393657	-0.0015
-0.686615832	-0.0026
-0.70325219	-0.0002
-0.652512543	-0.0017
-0.782273289	-0.0036
-0.679130004	-0.0002
-0.745674013	-0.0023
-0.794749669	0.0003
-0.801404212	-0.0016
-0.767300923	-0.0016
-0.689111819	-0.0013
-0.714897285	-0.0007
-0.793918384	-0.0017
-0.748169289	-0.0006
-0.696597647	-0.0028
-0.813049307	-0.0016
-0.787263841	-0.0001
-0.812218022	-0.0021
-0.717392561	-0.0013
-0.771459479	-0.0015
-0.865452945	0.0003
-0.724879099	-0.0012
-0.744842018	-0.0001
-0.775618746	-0.0015
-0.676634728	-0.0015
-0.768964203	-0.0016
-0.691607095	-0.0032
-0.677466724	-0.0025
-0.721551828	-0.0018
-0.659166375	-0.0012
-0.770627484	-0.0007
-0.679130004	-0.0006
-0.72654238	-0.0011
-0.826358393	-0.0016
-0.791422398	-0.0007
-0.694934366	-0.0007
-0.732364927	-0.0007
-0.781441294	-0.0008
-0.813049307	-0.0007
-0.772291475	-0.0012
-0.818039859	-0.0007
-0.801404212	-0.0011
-0.720719832	-0.0008
-0.763141656	-0.0021
-0.710738018	-0.0007
-0.774786751	-0.0025
-0.742346742	-0.0002
-0.811386027	-0.0033
-0.506947434	-0.0016
-0.798908936	0.0002
-0.738187475	-0.0013
-0.746505298	-0.0013
-0.689943104	-0.0003
-0.824694402	-0.0012
-0.738187475	-0.001
-0.68162528	-0.0007
-0.734028918	-0.0015
-0.66914819	-0.0036
-0.668316905	-0.0026
-0.73735619	-0.0016
-0.787263841	-0.0002
-0.709074737	-0.0023
-0.759814384	-0.0018
-0.768964203	-0.0028
-0.696597647	-0.0016
-0.781441294	-0.0016
-0.766468927	0.0002
-0.791422398	-0.001
-0.701588199	0.0003
-0.747337294	-0.0021
-0.808890751	-0.0012
-0.77312276	-0.0011
-0.818039859	-0.0016
-0.749001285	-0.0022
-0.605931452	-0.0025
-0.660830366	-0.0016
-0.736524194	-0.0007
-0.793086389	-0.0013
-0.698261638	-0.0027
-0.656671099	-0.0008
-0.693270375	-0.0008
-0.701588199	-0.0005
-0.771459479	-0.0012
-0.734860203	-0.0005
-0.724879099	-0.002
-0.832180941	-0.0003
-0.789759117	-0.0008
-0.708242742	-0.0026
-0.834676217	-0.0026
-0.742346742	-0.0036
-0.644194719	-0.0016
-0.609258724	-0.0016
-0.708242742	-0.0016
-0.751496561	-0.0001
-0.688279823	-0.0003
-0.771459479	-0.0016
-0.712402009	-0.0016
-0.738187475	-0.0021
-0.684952552	-0.0003
-0.828021674	-0.0026
-0.683289271	0.0003
-0.743178737	0.001
-0.844658031	-0.0007
-0.744010022	-0.0007
-0.653343828	-0.0006
-0.734860203	0.0003
-0.860462393	-0.0007
-0.828021674	0.0003
