SI Load [lb]	SI Stroke [in]
-41.8521	-1.5678
-41.6176	-1.5664
-41.3832	-1.567
-42.6725	-1.5672
-40.3284	-1.5663
-41.5004	-1.569
-43.2585	-1.5678
-41.3832	-1.57
-42.3209	-1.5689
-41.8521	-1.5678
-42.7897	-1.5697
-42.0864	-1.5692
-41.9692	-1.5687
-40.2112	-1.5705
-42.7897	-1.5689
-43.0241	-1.57
-43.0241	-1.5698
-43.3757	-1.5705
-43.7273	-1.5709
-42.7897	-1.5694
-42.5553	-1.571
-42.5553	-1.571
-43.9617	-1.5707
-43.2585	-1.5727
-42.9069	-1.572
-42.7897	-1.5717
-42.4381	-1.5732
-42.3209	-1.5717
-42.9069	-1.5719
-42.0864	-1.5717
-44.7821	-1.5725
-44.6649	-1.573
-42.9069	-1.5728
-43.6101	-1.5734
-43.8445	-1.5717
-43.4929	-1.5722
-43.1413	-1.574
-44.6649	-1.574
-42.9069	-1.5732
-44.1961	-1.5738
-44.0789	-1.5739
-44.6649	-1.575
-44.6649	-1.575
-45.3681	-1.5737
-46.6574	-1.5755
-44.8993	-1.5749
-45.1337	-1.575
-45.4853	-1.5753
-44.3133	-1.575
-46.0714	-1.5747
-45.3681	-1.5765
-43.2585	-1.5767
-44.6649	-1.5773
-47.8294	-1.577
-45.1337	-1.5759
-44.7821	-1.5783
-47.4778	-1.5768
-45.2509	-1.579
-45.6025	-1.578
-44.8993	-1.5775
-44.8993	-1.577
-44.6649	-1.578
-45.9541	-1.5773
-47.4778	-1.5788
-47.4778	-1.5777
-46.0714	-1.5789
-48.2982	-1.578
-46.6574	-1.5777
-46.5402	-1.578
-44.7821	-1.5782
-45.3681	-1.5798
-45.3681	-1.5799
-46.7746	-1.5782
-45.1337	-1.5815
-48.0638	-1.58
-46.3058	-1.58
-45.6025	-1.5794
-46.3058	-1.58
-46.0714	-1.5803
-47.009	-1.581
-47.7122	-1.5817
-48.4154	-1.5803
-47.3606	-1.582
-47.7122	-1.5824
-48.2982	-1.5818
-46.423	-1.5812
-49.353	-1.582
-47.4778	-1.5822
-46.6574	-1.5804
-47.4778	-1.5808
-47.2434	-1.582
-48.8842	-1.5818
-46.5402	-1.5835
-46.0714	-1.584
-46.5402	-1.5827
-46.7746	-1.5819
-47.9466	-1.583
-47.4778	-1.5818
-48.181	-1.584
-50.2907	-1.5853
-47.3606	-1.5838
-48.2982	-1.5842
-48.8842	-1.586
-47.3606	-1.5835
-46.5402	-1.5849
-46.1886	-1.5852
-47.7122	-1.5858
-48.6498	-1.5852
-47.3606	-1.585
-48.4154	-1.5845
-48.181	-1.586
-50.8767	-1.586
-47.9466	-1.5868
-48.767	-1.5858
-48.8842	-1.5858
-49.5874	-1.5873
-49.939	-1.5865
-50.7595	-1.5853
-49.939	-1.5885
-48.8842	-1.5872
-49.4702	-1.5878
-48.8842	-1.5874
-49.353	-1.5862
-47.7122	-1.5889
-48.5326	-1.5882
-49.353	-1.5877
-50.4079	-1.5895
-50.9939	-1.5889
-49.353	-1.5889
-49.0014	-1.588
-50.7595	-1.59
-48.8842	-1.589
-49.8219	-1.5895
-49.4702	-1.5894
-49.0014	-1.5893
-48.2982	-1.5895
-49.8219	-1.5894
-52.2831	-1.5905
-49.8219	-1.591
-49.353	-1.5897
-50.5251	-1.5914
-51.4627	-1.5905
-49.353	-1.5917
-51.5799	-1.5918
-52.6347	-1.5915
-47.7122	-1.5927
-52.8691	-1.592
-50.7595	-1.5925
-50.2907	-1.592
-49.353	-1.5913
-49.4702	-1.5923
-51.2283	-1.5923
-50.7595	-1.5909
-50.0563	-1.5922
-50.8767	-1.5929
-49.1186	-1.5923
-52.9863	-1.5912
-51.3455	-1.5933
-51.4627	-1.594
-51.6971	-1.595
